legacy path,new path
giving/news/social_innovator.html,stanford-gsb-experience/news-history/classmates-honor-social-innovator
giving/news/StanfordLaunchesInstitutetoAlleviatePoverty.html,stanford-gsb-experience/news-history/stanford-launches-institute-alleviate-poverty-150-million-gift
giving/news/StanfordSocialInnovationFellowships.html,stanford-gsb-experience/news-history/stanford-social-innovation-fellowships-awarded-two-mba-students
giving/news/supportforboninifellowshipprogram.html,stanford-gsb-experience/news-history/enhancing-leadership-eli-lilly-partnership-diversity-fellowship
giving/news/thrive_foundation_professorship.html,stanford-gsb-experience/news-history/professorship-reflects-lifelong-stanford-ties
giving/news/trust_for_leadership,stanford-gsb-experience/news-history/establishing-trust-support-leadership
giving/news/vanhorneprofessorship.html,stanford-gsb-experience/news-history/honoring-legend-james-c-van-horne-professorship
giving/news/volunteer_award.html,stanford-gsb-experience/news-history/couple-honored-extraordinary-volunteerism
giving/StanfordSocialInnovationFellowships.html,alumni/giving
giving/ways_to_give,alumni/giving/why/ways-give
giving/ways_to_give/campussustainability.html,alumni/giving/why/ways-give
phi/alumni,alumni/volunteering
phi/companies,organizations/recruit
phi/students/careers,alumni/career-resources
